attackLabel,throughputOut,throughputIn,packetsPerSecSent,packetsPerSecRecv,latency,jitter,bytesPerPacketOut,bytesPerPacketIn,bandwidthUtilOut,bandwidthUtilIn,currEstab,passiveOpensRate,activeOpensRate,attemptFailsRate,outRstsRate,inSegsRate,outSegsRate,retransRate,icmpInRate,inOutSegRatio,udpInRate,udpOutRate,udpNoPortRate,udpInOutRatio,halfOpenConnections,uniqueSourceIPs,topAttackerRepeat,uniqueDestinationPorts,sensitivePortsHit,avgConnectionDuration,longConnectionRatio
normal,0.0327,0.0237,25,37,0.042,0.013,164.92,80.92,0.0,0.0,0,7.01,0.08,0.0,0.0,42.47,28.7,0.0,2.31,1.48,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0345,0.0254,27,39,0.051,0.01,159.96,81.54,0.0,0.0,0,6.44,0.08,0.0,0.0,39.03,26.4,0.0,2.48,1.478,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0446,0.034,35,51,0.095,0.098,159.31,83.29,0.0,0.0,0,7.5,0.08,0.0,0.0,45.44,30.68,0.0,2.23,1.481,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0072,0.0052,8,8,0.046,0.012,113.0,82.25,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.57,0.625,5.94,5.94,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0067,0.0052,8,8,0.038,0.006,105.0,81.75,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.73,0.625,5.76,5.76,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0099,0.0069,11,11,0.046,0.009,112.55,78.91,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.9,0.625,6.1,6.1,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0499,0.0361,38,56,0.049,0.012,164.08,80.54,0.0,0.0,0,7.51,0.08,0.0,0.0,45.47,30.7,0.0,3.05,1.481,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.005,0.004,6,6,0.042,0.005,104.67,84.0,0.0,0.0,0,0.0,0.07,0.0,0.0,0.35,0.55,0.0,1.46,0.625,4.99,4.99,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0268,0.0205,21,31,0.068,0.022,160.38,83.35,0.0,0.0,0,6.92,0.08,0.0,0.0,41.96,28.36,0.0,2.31,1.48,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0088,0.0068,10,10,0.046,0.01,110.0,85.4,0.0,0.0,0,0.0,0.08,0.0,0.0,0.38,0.61,0.0,1.52,0.625,5.16,5.16,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0062,0.0045,7,7,0.087,0.035,110.86,80.0,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.89,0.625,5.91,5.91,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0045,0.0032,5,5,0.093,0.095,112.0,81.2,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.89,0.625,5.92,5.92,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.078,0.042,98.0,98.0,0.0,0.0,0,0.41,0.08,0.0,0.0,3.7,3.12,0.0,1.15,1.184,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0056,0.0037,6,6,0.034,0.005,118.0,77.0,0.0,0.0,0,0.0,0.07,0.0,0.0,0.36,0.58,0.0,1.66,0.625,4.75,4.75,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0055,0.004,6,6,0.054,0.009,114.67,84.0,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.81,0.625,6.43,6.43,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0097,0.0109,15,19,0.042,0.012,81.2,72.0,0.0,0.0,0,0.35,0.07,0.0,0.0,3.18,2.69,0.0,0.78,1.184,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0042,0.0032,5,5,0.06,0.008,105.6,80.8,0.0,0.0,0,0.0,0.08,0.0,0.0,0.39,0.63,0.0,1.81,0.625,5.51,5.51,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0577,0.0439,44,66,0.049,0.007,163.86,83.15,0.01,0.0,0,7.17,0.08,0.0,0.0,43.45,29.35,0.0,2.64,1.48,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0092,0.0065,10,10,0.033,0.007,115.0,81.2,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.81,0.625,5.42,5.42,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0093,0.007,12,19,0.079,0.053,167.67,79.37,0.0,0.0,0,7.42,0.08,0.0,0.0,44.94,30.34,0.0,2.14,1.481,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0029,0.0032,4,6,0.04,0.009,89.5,67.5,0.0,0.0,0,0.49,0.08,0.0,0.0,3.38,2.64,0.0,1.32,1.281,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.179,0.112,0.0,0.0,0.0,0.0,0,0.33,0.08,0.0,0.0,3.04,2.63,0.0,1.15,1.156,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0483,0.0362,37,55,0.045,0.018,163.51,82.51,0.0,0.0,0,7.09,0.08,0.0,0.0,42.96,29.02,0.0,2.31,1.48,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.006,0.0048,7,7,0.031,0.007,107.71,85.71,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.73,0.625,5.27,5.27,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.045,0.006,98.0,98.0,0.0,0.0,0,0.52,0.07,0.0,0.0,3.49,2.67,0.0,0.89,1.306,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0037,0.0043,6,8,0.032,0.005,77.0,67.12,0.0,0.0,0,0.34,0.07,0.0,0.0,3.1,2.62,0.0,0.9,1.184,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0062,0.0045,7,7,0.038,0.01,110.86,80.0,0.0,0.0,0,0.0,0.07,0.0,0.0,0.35,0.55,0.0,1.73,0.625,4.86,4.86,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0222,0.0162,17,25,0.044,0.016,163.53,81.28,0.0,0.0,0,6.08,0.07,0.0,0.0,36.86,24.91,0.0,1.81,1.48,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0069,0.0054,6,8,0.044,0.004,144.33,85.25,0.0,0.0,0,7.34,0.08,0.0,0.0,44.42,29.99,0.0,2.63,1.481,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.034,0.009,0.0,0.0,0.0,0.0,0,0.5,0.07,0.0,0.0,3.38,2.59,0.0,1.29,1.306,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0422,0.0329,33,49,0.046,0.007,160.48,84.24,0.0,0.0,0,6.14,0.07,0.0,0.0,37.22,25.14,0.0,2.23,1.481,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0045,0.0051,7,9,0.037,0.006,80.0,70.56,0.0,0.0,0,0.28,0.07,0.0,0.0,2.58,2.23,0.0,0.91,1.156,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0025,0.002,3,3,0.038,0.007,104.0,83.33,0.0,0.0,0,0.0,0.07,0.0,0.0,0.35,0.57,0.0,1.7,0.625,5.24,5.24,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0168,0.0123,13,19,0.048,0.012,162.38,80.84,0.0,0.0,0,7.34,0.08,0.0,0.0,44.45,30.02,0.0,2.31,1.481,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.06,0.026,0.0,0.0,0.0,0.0,0,0.58,0.08,0.0,0.0,3.87,2.96,0.0,0.82,1.306,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0215,0.0168,17,25,0.035,0.002,158.65,84.32,0.0,0.0,0,7.09,0.08,0.0,0.0,42.97,29.03,0.0,2.89,1.48,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0435,0.0315,33,49,0.052,0.009,165.58,80.73,0.0,0.0,0,7.09,0.08,0.0,0.0,42.96,29.02,0.0,2.39,1.48,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.035,0.008,0.0,0.0,0.0,0.0,0,0.41,0.08,0.0,0.0,3.7,3.13,0.0,1.07,1.184,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.044,0.011,0.0,0.0,0.0,0.0,0,0.35,0.07,0.0,0.0,3.12,2.63,0.0,0.83,1.184,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0016,0.0016,2,2,0.044,0.011,98.0,98.0,0.0,0.0,0,0.33,0.08,0.0,0.0,3.04,2.63,0.0,1.07,1.156,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.056,0.008,0.0,0.0,0.0,0.0,0,0.58,0.08,0.0,0.0,3.88,2.97,0.0,1.48,1.306,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.082,0.068,98.0,98.0,0.0,0.0,0,0.66,0.08,0.0,0.0,4.37,3.3,0.0,1.48,1.325,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.04,0.004,0.0,0.0,0.0,0.0,0,0.41,0.08,0.0,0.0,3.7,3.12,0.0,1.23,1.184,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0025,0.002,3,3,0.045,0.009,104.67,84.0,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,2.06,0.625,6.41,6.41,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.04,0.008,98.0,98.0,0.0,0.0,0,0.41,0.08,0.0,0.0,3.71,3.13,0.0,1.07,1.184,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0108,0.008,14,20,0.041,0.014,157.71,81.7,0.0,0.0,0,7.41,0.08,0.0,0.0,44.87,30.3,0.0,2.31,1.481,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.033,0.0253,26,38,0.112,0.037,159.08,83.37,0.0,0.0,0,7.15,0.08,0.0,0.0,43.33,29.35,0.0,2.71,1.476,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.043,0.013,98.0,98.0,0.0,0.0,0,0.41,0.08,0.0,0.0,3.7,3.13,0.0,0.99,1.184,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0037,0.0043,6,8,0.042,0.011,77.0,67.12,0.0,0.0,0,0.41,0.08,0.0,0.0,3.7,3.13,0.0,1.07,1.184,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.058,0.022,0.0,0.0,0.0,0.0,0,0.54,0.08,0.0,0.0,3.65,2.79,0.0,1.4,1.306,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0027,0.002,3,3,0.041,0.003,114.67,84.0,0.0,0.0,0,0.0,0.07,0.0,0.0,0.36,0.57,0.0,1.65,0.625,5.32,5.32,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0185,0.0159,16,23,0.061,0.019,145.0,86.78,0.0,0.0,0,7.57,0.08,0.0,0.0,45.82,30.93,0.0,2.47,1.481,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0025,0.002,3,3,0.054,0.014,104.67,84.0,0.0,0.0,0,0.0,0.08,0.0,0.0,0.39,0.62,0.0,1.86,0.625,6.2,6.2,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0028,0.0032,4,6,0.043,0.021,89.5,67.5,0.0,0.0,0,0.41,0.08,0.0,0.0,2.88,2.3,0.0,1.07,1.25,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0025,0.002,3,3,0.062,0.007,104.67,84.0,0.0,0.0,0,0.0,0.08,0.0,0.0,0.39,0.63,0.0,1.81,0.625,5.21,5.21,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.062,0.012,0.0,0.0,0.0,0.0,0,0.66,0.08,0.0,0.0,4.36,3.29,0.0,1.07,1.325,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0062,0.0044,7,7,0.043,0.011,110.86,80.0,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.81,0.625,5.61,5.61,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0061,0.0044,7,7,0.038,0.006,110.57,79.71,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.73,0.625,6.25,6.25,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0342,0.0251,27,39,0.033,0.007,159.96,81.28,0.0,0.0,0,6.06,0.07,0.0,0.0,36.72,24.81,0.0,2.21,1.48,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0229,0.0168,18,26,0.114,0.073,160.0,81.54,0.0,0.0,0,7.42,0.08,0.0,0.0,44.93,30.42,0.0,2.69,1.477,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.066,0.027,98.0,98.0,0.0,0.0,0,0.57,0.08,0.0,0.0,3.84,2.94,0.0,1.39,1.306,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.048,0.013,98.0,98.0,0.0,0.0,0,0.49,0.08,0.0,0.0,3.38,2.64,0.0,1.24,1.281,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.07,0.035,0.0,0.0,0.0,0.0,0,0.49,0.08,0.0,0.0,3.38,2.64,0.0,1.48,1.281,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.086,0.077,0.0,0.0,0.0,0.0,0,0.63,0.08,0.0,0.0,4.19,3.16,0.0,1.11,1.325,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0322,0.0246,25,37,0.041,0.007,161.48,83.24,0.0,0.0,0,7.66,0.08,0.0,0.0,46.35,31.28,0.0,2.31,1.482,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0499,0.0376,39,57,0.053,0.001,160.18,82.53,0.0,0.0,0,7.33,0.08,0.0,0.0,44.38,29.97,0.0,2.14,1.481,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.123,0.048,0.0,0.0,0.0,0.0,0,0.33,0.08,0.0,0.0,3.04,2.63,0.0,1.15,1.156,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.046,0.007,0.0,0.0,0.0,0.0,0,0.33,0.08,0.0,0.0,3.05,2.64,0.0,0.99,1.156,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0026,0.0021,4,4,0.053,0.015,80.5,66.0,0.0,0.0,0,0.33,0.08,0.0,0.0,3.05,2.64,0.0,0.99,1.156,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.043,0.013,0.0,0.0,0.0,0.0,1,0.35,0.07,0.0,0.0,2.83,2.35,0.0,0.83,1.206,0.0,0.0,0.0,0,0,0,5,6,1,0.0,0.0
normal,0.0044,0.0048,6,8,0.052,0.009,92.33,75.12,0.0,0.0,0,0.54,0.08,0.0,0.0,3.6,2.76,0.0,0.92,1.306,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0481,0.036,37,55,0.036,0.004,163.54,82.33,0.0,0.0,0,5.94,0.07,0.0,0.0,36.02,24.34,0.0,1.84,1.48,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.07,0.015,98.0,98.0,0.0,0.0,0,0.41,0.08,0.0,0.0,2.89,2.31,0.0,1.57,1.25,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.039,0.007,98.0,98.0,0.0,0.0,0,0.49,0.08,0.0,0.0,4.37,3.63,0.0,1.15,1.205,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0274,0.0198,21,31,0.069,0.029,164.38,80.26,0.0,0.0,0,7.21,0.08,0.0,0.0,43.67,29.48,0.0,2.51,1.481,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0553,0.0416,43,63,0.042,0.008,160.86,82.7,0.01,0.0,0,6.84,0.08,0.0,0.0,41.46,28.03,0.0,2.31,1.479,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0482,0.0361,37,55,0.04,0.014,163.57,82.51,0.0,0.0,0,7.18,0.07,0.0,0.0,43.48,29.33,0.0,2.47,1.482,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0036,0.004,5,7,0.048,0.007,91.2,71.86,0.0,0.0,0,0.41,0.08,0.0,0.0,2.88,2.31,0.0,0.91,1.25,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.129,0.041,0.0,0.0,0.0,0.0,0,0.58,0.08,0.0,0.0,3.86,2.96,0.0,1.07,1.306,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0034,0.0024,4,4,0.036,0.008,107.5,76.5,0.0,0.0,0,0.0,0.07,0.0,0.0,0.37,0.59,0.0,1.93,0.625,5.35,5.35,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0282,0.0222,23,33,0.045,0.006,154.96,84.85,0.0,0.0,0,7.17,0.08,0.0,0.0,43.4,29.3,0.0,2.03,1.481,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0029,0.0032,4,6,0.054,0.014,89.5,67.5,0.0,0.0,0,0.58,0.08,0.0,0.0,3.87,2.96,0.0,1.4,1.306,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.035,0.009,0.0,0.0,0.0,0.0,0,0.58,0.08,0.0,0.0,3.88,2.97,0.0,0.99,1.306,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.044,0.015,98.0,98.0,0.0,0.0,0,0.41,0.08,0.0,0.0,3.7,3.13,0.0,1.15,1.184,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0033,0.0028,4,4,0.07,0.032,103.0,87.5,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.81,0.625,5.1,5.1,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.039,0.01,0.0,0.0,0.0,0.0,0,0.33,0.08,0.0,0.0,3.05,2.64,0.0,1.07,1.156,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0488,0.0367,38,56,0.047,0.012,161.82,82.61,0.0,0.0,0,5.94,0.07,0.0,0.0,36.0,24.33,0.0,2.03,1.48,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0291,0.0216,23,33,0.045,0.014,158.61,81.94,0.0,0.0,0,7.26,0.08,0.0,0.0,43.95,29.68,0.0,2.56,1.481,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0328,0.0253,26,38,0.074,0.03,159.08,83.89,0.0,0.0,0,6.45,0.08,0.0,0.0,39.08,26.41,0.0,2.64,1.479,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0551,0.04,42,62,0.079,0.021,164.38,80.74,0.01,0.0,0,6.19,0.08,0.0,0.0,37.52,25.37,0.0,2.6,1.479,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0045,0.0051,7,9,0.057,0.013,80.0,70.56,0.0,0.0,0,0.33,0.08,0.0,0.0,3.03,2.62,0.0,1.07,1.156,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0028,0.0032,4,6,0.05,0.015,89.5,67.5,0.0,0.0,0,0.41,0.08,0.0,0.0,2.89,2.31,0.0,1.07,1.25,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0044,0.0048,6,8,0.117,0.101,92.33,75.12,0.0,0.0,0,0.49,0.08,0.0,0.0,3.37,2.63,0.0,1.32,1.281,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.059,0.03,98.0,98.0,0.0,0.0,0,0.41,0.08,0.0,0.0,3.71,3.13,0.0,1.07,1.184,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.043,0.013,98.0,98.0,0.0,0.0,0,0.49,0.08,0.0,0.0,3.38,2.64,0.0,1.24,1.281,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0036,0.004,5,7,0.059,0.013,91.2,71.86,0.0,0.0,0,0.49,0.08,0.0,0.0,3.38,2.64,0.0,0.99,1.281,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0399,0.0292,31,45,0.041,0.005,161.0,81.02,0.0,0.0,0,7.42,0.08,0.0,0.0,44.93,30.34,0.0,2.64,1.481,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0102,0.0084,15,21,0.048,0.018,148.13,87.52,0.0,0.0,0,7.49,0.08,0.0,0.0,45.35,30.61,0.0,2.14,1.481,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0132,0.0097,15,15,0.036,0.011,109.87,81.07,0.0,0.0,0,0.0,0.07,0.0,0.0,0.36,0.57,0.0,1.36,0.625,5.01,5.01,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.041,0.014,98.0,98.0,0.0,0.0,0,0.55,0.08,0.0,0.0,3.68,2.82,0.0,1.02,1.306,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0016,0.0016,2,2,0.048,0.011,98.0,98.0,0.0,0.0,0,0.44,0.07,0.0,0.0,2.98,2.33,0.0,1.02,1.281,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.046,0.014,0.0,0.0,0.0,0.0,0,0.41,0.08,0.0,0.0,2.89,2.31,0.0,1.4,1.25,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0062,0.0044,7,7,0.08,0.037,110.86,80.0,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.65,0.625,5.27,5.27,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0033,0.0028,4,4,0.077,0.053,103.0,87.5,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.81,0.625,6.1,6.1,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.039,0.011,0.0,0.0,0.0,0.0,0,0.57,0.07,0.0,0.0,3.77,2.85,0.0,0.85,1.325,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0016,0.0016,2,2,0.058,0.025,98.0,98.0,0.0,0.0,0,0.41,0.08,0.0,0.0,2.88,2.3,0.0,1.23,1.25,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.005,0.004,6,6,0.032,0.005,104.33,83.67,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.49,0.625,6.44,6.44,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0052,0.004,6,6,0.054,0.014,109.67,84.0,0.0,0.0,0,0.0,0.08,0.0,0.0,0.39,0.62,0.0,1.7,0.625,5.25,5.25,0.0,1,0,0,5,5,0,0.0,0.0
